,date,year,month,day,dow,holiday,decade,prevcalls,sum,calls
435,2021-02-02,2021,2,2,1,0,1,57,1218827,65
436,2021-02-03,2021,2,3,2,0,1,65,1218827,36
437,2021-02-04,2021,2,4,3,0,1,36,1218827,45
438,2021-02-05,2021,2,5,4,0,1,45,1218827,44
439,2021-02-08,2021,2,8,0,0,2,44,1218827,34
440,2021-02-09,2021,2,9,1,0,2,34,1218827,44
441,2021-02-10,2021,2,10,2,0,2,44,1218827,71
442,2021-02-11,2021,2,11,3,0,2,71,1218827,35
443,2021-02-12,2021,2,12,4,0,2,35,1218827,58
444,2021-02-15,2021,2,15,0,0,2,58,1218827,57
445,2021-02-16,2021,2,16,1,0,2,57,1218827,64
446,2021-02-17,2021,2,17,2,0,2,64,1218827,43
447,2021-02-18,2021,2,18,3,0,2,43,1218827,50
448,2021-02-19,2021,2,19,4,0,2,50,1218827,46
449,2021-02-20,2021,2,20,5,0,2,46,1218827,40
450,2021-02-24,2021,2,24,2,0,2,40,1218827,55
451,2021-02-25,2021,2,25,3,0,2,55,1218827,91
452,2021-02-26,2021,2,26,4,0,3,91,1218827,72
453,2021-03-01,2021,3,1,0,0,1,72,1164554,58
454,2021-03-02,2021,3,2,1,0,1,58,1164554,61
455,2021-03-03,2021,3,3,2,0,1,61,1164554,44
456,2021-03-04,2021,3,4,3,0,1,44,1164554,48
457,2021-03-05,2021,3,5,4,0,1,48,1164554,40
458,2021-03-09,2021,3,9,1,0,2,40,1164554,55
459,2021-03-10,2021,3,10,2,0,2,55,1164554,56
460,2021-03-11,2021,3,11,3,0,2,56,1164554,79
461,2021-03-12,2021,3,12,4,0,2,79,1164554,65
462,2021-03-15,2021,3,15,0,0,2,65,1164554,75
463,2021-03-16,2021,3,16,1,0,2,75,1164554,75
